username,profile_summary,intereses,estilo,tono,resumen,analyzed_at
belnnn.__,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
m.p.r.g8,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
mermelada_de_manzannnaa_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
angel4.scent._doll,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
jabi_jamon,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
nicooodtv,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
liscroesm,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
tinaa_valeee,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
pecass1265r._,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
_mari1_7,Perfil sencillo que sugiere un interés en viajes y una actitud positiva.,viajes,simple y minimalista,positivo,Perfil sencillo que sugiere un interés en viajes y una actitud positiva.,2026-04-24T20:59:40.849817Z
dxniel._.rc,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
allize.op,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
romi.micaela_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
rafita_ortega12,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
ghxst_.nad,"Un perfil sencillo que parece centrarse en la comida, especialmente en setas.","comida, mushrooms",simple y minimalista,serio,"Un perfil sencillo que parece centrarse en la comida, especialmente en setas.",2026-04-24T20:59:41.258752Z
izabella__sr,"Una chica ecuatoriana que ama la danza y la música, comparte sus aventuras y experiencia con sus seguidores, y les anima a seguir sus sueños.","danza, música, baile, coreografías","una persona activa y apasionada por la danza y la música, que comparte su experiencia y emociones con sus seguidores","positivo y alegre, con un toque de inspiración y motivación","Una chica ecuatoriana que ama la danza y la música, comparte sus aventuras y experiencia con sus seguidores, y les anima a seguir sus sueños.",2026-04-24T20:59:41.844721Z
emy_floresss_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
_l_i_z__2,El perfil de L. I. X. es misterioso y no proporciona información sobre sus intereses o estilo de vida.,"mystery, anónimo",simple y minimalista,enigmático,El perfil de L. I. X. es misterioso y no proporciona información sobre sus intereses o estilo de vida.,2026-04-24T20:59:42.327363Z
mateotienequeganar,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
kaelizpg99,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
laelejustin,"Justin Pro Max es un artista de música que comparte su vida y aventuras en el escenario, agradeciendo cada oportunidad y experiencia.","música, entretenimiento, viajes, gira de conciertos","Celebridad, Artista de Música","reflexivo, agradecido","Justin Pro Max es un artista de música que comparte su vida y aventuras en el escenario, agradeciendo cada oportunidad y experiencia.",2026-04-24T20:59:42.762403Z
samy._.ramos,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
juanomoca,"Juan Manuel es un motivador y líder que busca inspirar a los demás a través de su filosofía y visión del mundo, enfocada en la creación de realidades y el crecimiento personal.","motivación, liderazgo, crecimiento personal","Estilo de vida espiritual y filosófico, con énfasis en la creación de realidades y la autoconciencia","Inspirador y reflexivo, con un tono positivo y motivador","Juan Manuel es un motivador y líder que busca inspirar a los demás a través de su filosofía y visión del mundo, enfocada en la creación de realidades y el crecimiento personal.",2026-04-24T20:59:59.731164Z
_domm.sz,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
_bri.pazmino_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
maarvfl,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
domm_armm,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
miniilunaa_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
itts.sxrah,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
_4lejandra._02,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
augusta_rojas.h,"Esta persona parece valorar profundamente sus relaciones, especialmente su relación con su pareja y familia. Su tono es alegre y positivo, con una gran cantidad de amor y gratitud.","relaciones, familias",romántico y alegre,positivo y emotivo,"Esta persona parece valorar profundamente sus relaciones, especialmente su relación con su pareja y familia. Su tono es alegre y positivo, con una gran cantidad de amor y gratitud.",2026-04-24T21:00:05.615856Z
valentinarivadeneira_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
bri_portilla_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
sevilla_jose_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
neithan.saad,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
rj_priscila,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
___anaa.aa,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
matiwid,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
maatiweidmann,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
crist1n4_1,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
estefyyyy_13,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
abbiigail._,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
karla_ruiii,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
elaltres,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
stefy_nicole_zurita,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
lizprz_227,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
when_valk,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
anapau2_6,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
nofe_luis26,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
inna_cano25,"El perfil de Inna Cano sugiere que es una persona romántica que valora profundamente sus relaciones, especialmente su relación con Anthony Garcia, con quien parece tener una historia de amor intensa y emotiva.","amor, relaciones",romántico y personal,positivo y emotivo,"El perfil de Inna Cano sugiere que es una persona romántica que valora profundamente sus relaciones, especialmente su relación con Anthony Garcia, con quien parece tener una historia de amor intensa y emotiva.",2026-04-24T21:00:10.868683Z
miriaqntc_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
leyendaryrecord,"Leyendary Record es un perfil de Instagram que se enfoca en promover la escena musical ecuatoriana y otros eventos artísticos. Su tono es positivo y motivador, y busca inspirar a la gente a seguir sus sueños y pasar por momentos emocionantes y creativos.","música, eventos, artes escénicas",El perfil de Leyendary Record se caracteriza por ser un espacio que combina la promoción de artistas emergentes con eventos y proyectos de artes escénicas. Se destaca por su estilo visual moderno y su capacidad para crear un ambiente emocionante y energético.,positivo y motivador,"Leyendary Record es un perfil de Instagram que se enfoca en promover la escena musical ecuatoriana y otros eventos artísticos. Su tono es positivo y motivador, y busca inspirar a la gente a seguir sus sueños y pasar por momentos emocionantes y creativos.",2026-04-24T21:00:46.280504Z
beoe_168,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
prep_ara2,Perfil dedicado a mostrar y promocionar diferentes licores preparados,"coctelería, bebidas",foco en la promoción de licores preparados,serio,Perfil dedicado a mostrar y promocionar diferentes licores preparados,2026-04-24T21:00:46.695941Z
1blssd.mthxs,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
caa4mixx_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
paao_munozz,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
jordan.alvarez,"Jordan Álvarez es un joven con un sentido del humor agudo y una personalidad alegre, que comparte momentos divertidos y experiencias de su vida con su audiencia en Instagram.","viajes, humor, comedia, salud, diseño dental","Un estilo de vida activo y social, con un enfoque en la comedia y el humor",Divertido y ligeramente sarcástico,"Jordan Álvarez es un joven con un sentido del humor agudo y una personalidad alegre, que comparte momentos divertidos y experiencias de su vida con su audiencia en Instagram.",2026-04-24T21:00:49.926744Z
lapida.by.jxhn,"John Rodriguez es un tatuador apasionado que comparte su trabajo y estilo de vida en Instagram, combinando arte y humor en sus publicaciones","tatuajes, tattoos, arte",Un estilo de vida dedicado a la creación de arte tatuajes y la promoción de su trabajo como tatuador,Divertido y confiado,"John Rodriguez es un tatuador apasionado que comparte su trabajo y estilo de vida en Instagram, combinando arte y humor en sus publicaciones",2026-04-24T21:00:57.178922Z
elsa_capunta7,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
dani_merizalde_,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
jahiir_r,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
melanie.landazuri,"Fernanda Landazuri es una modelo y fotógrafa que busca expresar su individualidad y conexión con la naturaleza a través de la fotografía, mientras se promueve el amor propio y la autenticidad.","viajes, fotografía, modelaje, naturaleza, música, amor propio","Individualista, apasionada por la creatividad y la conexión con la naturaleza","Positivo, inspirador y autocrítico","Fernanda Landazuri es una modelo y fotógrafa que busca expresar su individualidad y conexión con la naturaleza a través de la fotografía, mientras se promueve el amor propio y la autenticidad.",2026-04-24T21:01:14.518635Z
ari.luuv,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
touringvibe,"El usuario parece ser alguien que disfruta de experiencias emocionantes y de gran energía, probablemente un amante de la aventura y el viaje.",viajes,adicto a la emoción y la energía,divertido,"El usuario parece ser alguien que disfruta de experiencias emocionantes y de gran energía, probablemente un amante de la aventura y el viaje.",2026-04-24T21:01:14.925870Z
dmorales8877,"David Morales es un profesional del marketing digital que comparte sus conocimientos y experiencias en estrategias de contenido y colaboraciones efectivas, con un enfoque en la productividad y la sostenibilidad. Su perfil es una plataforma de aprendizaje y conexión con la comunidad.","Marketing Digital, Influencers, Teletrabajo, Trabajo Remoto, Productividad, Tecnología, Sostenibilidad, Estrategia Digital","Profesional y educativo, con un tono informal y amigable","Inspirador y motivador, con un enfoque en la mejora continua","David Morales es un profesional del marketing digital que comparte sus conocimientos y experiencias en estrategias de contenido y colaboraciones efectivas, con un enfoque en la productividad y la sostenibilidad. Su perfil es una plataforma de aprendizaje y conexión con la comunidad.",2026-04-24T21:01:20.854455Z
amelierm12,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
maia_thais.24,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
danna_villacis13,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
andrea___lobato,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
____vxcc.f,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
card_bearblock,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
luu.xrixs,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
cristyestefa,Sin bio ni posts para analizar,,sin datos,-,Sin bio ni posts para analizar,
